Price,Adj Close,Close,High,Low,Open,Volume,log_ret,sigma20
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,,
2005-02-01,1189.4100341796875,1189.4100341796875,1190.3900146484375,1180.949951171875,1181.27001953125,1681980000,0.006867267158630064,0.10034835567836978
2005-02-02,1193.18994140625,1193.18994140625,1195.25,1188.9200439453125,1189.4100341796875,1561740000,0.003172929099699573,0.092298457573498
2005-02-03,1189.8900146484375,1189.8900146484375,1193.18994140625,1185.6400146484375,1193.18994140625,1554460000,-0.0027694655050192196,0.09189143014130696
2005-02-04,1203.030029296875,1203.030029296875,1203.469970703125,1189.6700439453125,1189.8900146484375,1648160000,0.010982520503199034,0.09861711417965453
2005-02-07,1201.719970703125,1201.719970703125,1204.1500244140625,1199.27001953125,1203.030029296875,1347270000,-0.0010895591835762275,0.09853378415847457
2005-02-08,1202.300048828125,1202.300048828125,1205.1099853515625,1200.1600341796875,1201.719970703125,1416170000,0.00048259010452955664,0.09801733694476465
2005-02-09,1191.989990234375,1191.989990234375,1203.8299560546875,1191.5400390625,1202.300048828125,1511040000,-0.008612258457473487,0.10048897197774811
2005-02-10,1197.010009765625,1197.010009765625,1198.75,1191.5400390625,1191.989990234375,1491670000,0.004202617764653027,0.1005953081452817
2005-02-11,1205.300048828125,1205.300048828125,1208.3800048828125,1193.280029296875,1197.010009765625,1562300000,0.00690175020517092,0.09729910858763392
2005-02-14,1206.1400146484375,1206.1400146484375,1206.9300537109375,1203.5899658203125,1205.300048828125,1290180000,0.0006966508245467296,0.09570707458209492
2005-02-15,1210.1199951171875,1210.1199951171875,1212.43994140625,1205.52001953125,1206.1400146484375,1527080000,0.003294334262128551,0.09081629552108343
2005-02-16,1210.3399658203125,1210.3399658203125,1212.43994140625,1205.06005859375,1210.1199951171875,1490100000,0.00018175942364706543,0.08306007328829533
2005-02-17,1200.75,1200.75,1211.3299560546875,1200.739990234375,1210.3399658203125,1580120000,-0.007954922070865678,0.08325202808017425
2005-02-18,1201.5899658203125,1201.5899658203125,1202.9200439453125,1197.3499755859375,1200.75,1551200000,0.0006992897479056737,0.0786855206885597
